author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Адрес;developer;https://mytishchi.cian.ru/sale/flat/306852801/;Мытищи;sale;flat;5;16;3;61.4;13446600;;Троицкая ;3Г;Медведково;Адрес
CENTURY 21 Столичная недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308339795/;Мытищи;sale;flat;4;17;3;52.0;8800000;;переулок 1-й Стрелковый;3;Медведково;Мытищи Парк
ID 76163786;unknown;https://mytishchi.cian.ru/sale/flat/308572462/;Мытищи;sale;flat;4;9;4;67.4;8900000;;Юбилейная ;29к2;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570258/;Мытищи;sale;flat;11;25;3;54.13;13560000;;;;Медведково;Страна.Парковая ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302656948/;Мытищи;sale;flat;7;9;3;77.4;9100000;;Юбилейная ;23к1;Медведково;
На Петровке;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308599212/;Мытищи;sale;flat;7;11;3;74.2;14000000;; Рождественская;2;Медведково;Рождественский
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/297125498/;Мытищи;sale;flat;24;25;3;53.68;15117284;;;;Медведково;Кит 2 ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305185863/;Мытищи;sale;flat;6;16;3;52.0;9500000;; Стрельбище Динамо;10;Бабушкинская;Мытищи Парк
ID 45811822;unknown;https://mytishchi.cian.ru/sale/flat/303711162/;Мытищи;sale;flat;5;18;4;110.0;26900000;;Летная ;21;Медведково;Квартал 9-18
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570137/;Мытищи;sale;flat;3;25;4;93.1;20860000;;;;Медведково;Страна.Парковая ЖК
MOD Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304494294/;Мытищи;sale;flat;3;16;3;65.0;9750000;;Олимпийский проспект;30;Медведково;
Космополис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306856099/;Мытищи;sale;flat;2;20;3;98.5;13500000;;Октябрьский проспект;10А;Медведково;Цветочный город
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/306505797/;Мытищи;sale;flat;9;25;3;93.5;25586848;;Новомытищинский проспект;4А;Бабушкинская;КИТ
Цитадель;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308674640/;Мытищи;sale;flat;5;17;3;85.8;14459000;; Кадомцева;4;Медведково;Новое Медведково
ID 3482362;realtor;https://mytishchi.cian.ru/sale/flat/307839084/;Мытищи;sale;flat;5;9;3;62.3;9200000;; Семашко;21;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303513913/;Мытищи;sale;flat;2;24;3;81.3;15662282;;;к5;Медведково;Яуза Парк ЖК
Homeapp;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307579917/;Мытищи;sale;flat;9;18;3;78.7;12100000;; Белобородова;4Г;Медведково;
Космополис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305823495/;Мытищи;sale;flat;6;25;3;75.0;11990000;;Юбилейная ;16;Медведково;Ярославский
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308649652/;Мытищи;sale;flat;13;15;3;81.15;14458081;;;к5;Ростокино;Мытищи Парк ЖК
ID 390234;unknown;https://mytishchi.cian.ru/sale/flat/306825403/;Мытищи;sale;flat;6;9;3;61.6;8400000;;Летная ;18к1;Медведково;
Простор-недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/303274860/;Мытищи;sale;flat;12;25;3;71.0;10880000;; Борисовка;14;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075506/;Мытищи;sale;flat;18;23;3;63.7;12506850;;;к11.3;Медведково;Белый Grad ЖК
Лидер жилья -   продажа недвижимости;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308825553/;Мытищи;sale;flat;6;7;3;70.0;16800000;;бульвар Тенистый;5;Медведково;Императорские Мытищи
ID 66602955;homeowner;https://mytishchi.cian.ru/sale/flat/308494884/;Мытищи;sale;flat;11;27;3;87.7;16000000;; Мира;39;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076259/;Мытищи;sale;flat;17;23;3;54.5;11125726;;;к11.2;Медведково;Белый Grad ЖК
Лидер жилья -   продажа недвижимости;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307553576/;Мытищи;sale;flat;6;7;3;70.0;16500000;;бульвар Тенистый;9;Медведково;Императорские Мытищи
