author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
;;https://dolgoprudny.cian.ru/sale/flat/282489923/;Долгопрудный;sale;flat;18;18;2;63.7;13766697;;;к2;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308561269/;Долгопрудный;sale;flat;10;23;2;52.1;15190000;;Парковая ;54;Долгопрудная;
Альфалот;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308775890/;Долгопрудный;sale;flat;13;17;2;39.5;1935000;;Корабельная ;1;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/306627890/;Долгопрудный;sale;flat;9;23;2;49.2;11550530;;;;Хлебниково;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308568163/;Долгопрудный;sale;flat;9;18;1;44.0;10550000;;Московская ;56к3;Водники;Московские водники
Святослав Голованов;realtor;https://dolgoprudny.cian.ru/sale/flat/307711060/;Долгопрудный;sale;flat;1;2;1;33.0;4700000;;Северная ;2;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/293100101/;Долгопрудный;sale;flat;15;23;2;44.2;9019051;;;;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308192211/;Долгопрудный;sale;flat;5;23;1;36.8;6800000;;Парковая ;46к1;Водники;Бригантина
Лариса Калина;realtor;https://dolgoprudny.cian.ru/sale/flat/308736324/;Долгопрудный;sale;flat;19;21;2;66.1;11990000;;проспект Ракетостроителей;7к1;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/297092716/;Долгопрудный;sale;flat;15;23;2;41.1;9062798;;;;Хлебниково;Бригантина ЖК
ID 119235442;homeowner;https://dolgoprudny.cian.ru/sale/flat/304961831/;Долгопрудный;sale;flat;24;26;1;49.0;11800000;;Лихачевский проспект;80к1;Долгопрудная;
Виктор Клевицкий;realtor;https://dolgoprudny.cian.ru/sale/flat/301375247/;Долгопрудный;sale;flat;2;3;2;49.4;10350000;;Первомайская ;29;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/297092707/;Долгопрудный;sale;flat;17;23;2;57.3;11943571;;;;Хлебниково;Бригантина ЖК
Адресат;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307723766/;Долгопрудный;sale;flat;17;23;1;34.1;8350000;;Парковая ;48;Долгопрудная;Бригантина
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Долгопрудный;sale;flat;3;16;1;35.0;7300000;;проспект Пацаева;17;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/306627925/;Долгопрудный;sale;flat;13;23;1;34.5;8780785;;;;Хлебниково;Бригантина ЖК
ГОРОДА;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305463933/;Долгопрудный;sale;flat;10;17;2;70.6;13700000;;Новый бульвар;15;Долгопрудная;
Татьяна Карпова;realtor;https://dolgoprudny.cian.ru/sale/flat/308824074/;Долгопрудный;sale;flat;2;5;2;41.6;6900000;; Циолковского;13;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/303600346/;Долгопрудный;sale;flat;19;23;2;34.1;7631445;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307153381/;Долгопрудный;sale;flat;10;19;1;46.0;8800000;;проспект Ракетостроителей;1к1;Долгопрудная;
Вячеслав Чекалин;realtor;https://dolgoprudny.cian.ru/sale/flat/302399780/;Долгопрудный;sale;flat;8;26;1;39.6;7400000;;Старое Дмитровское шоссе;11;Водники;Московские водники
;;https://dolgoprudny.cian.ru/sale/flat/307506709/;Долгопрудный;sale;flat;7;23;2;47.2;9579367;;;;Водники;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308703396/;Долгопрудный;sale;flat;5;5;1;28.9;6450000;;Московское шоссе;49к1;Водники;
Елена Тихонова;realtor;https://dolgoprudny.cian.ru/sale/flat/308451113/;Долгопрудный;sale;flat;6;21;1;47.0;9200000;;проспект Ракетостроителей;1к1;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/299394744/;Долгопрудный;sale;flat;10;23;1;42.0;9169139;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308712844/;Долгопрудный;sale;flat;3;10;1;42.2;8300000;;Дирижабельная ;15Б;Долгопрудная;
АЛЬЯНС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308524393/;Долгопрудный;sale;flat;13;24;2;52.0;10600000;;Парковая ;46к1;Водники;Бригантина
;;https://dolgoprudny.cian.ru/sale/flat/283774236/;Долгопрудный;sale;flat;2;23;2;45.7;9776327;;;;Водники;Бригантина ЖК
