author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 803947;realtor;https://ruza.cian.ru/sale/flat/308573882/;Руза;sale;flat;3;4;2;44.8;3800000;;;;;
ID 12980076;homeowner;https://ruza.cian.ru/sale/flat/305934021/;Руза;sale;flat;4;9;3;72.4;7800000;Руза; Солнцева;24;;
Светлана Тихомирова;realtor;https://ruza.cian.ru/sale/flat/308569423/;Руза;sale;flat;3;5;2;47.7;4200000;Руза;Демократический переулок;25;;
Елена Семочкина;realtor;https://ruza.cian.ru/sale/flat/303726443/;Руза;sale;flat;1;1;2;44.4;3300000;Руза;Красная ;62;;
Светлана Аюгова;realtor;https://ruza.cian.ru/sale/flat/287525141/;Руза;sale;flat;9;9;1;32.1;3800000;Руза; Солнцева;22;;
ID 65567110;realtor;https://ruza.cian.ru/sale/flat/295616981/;Руза;sale;flat;1;3;-1;33.7;2900000;Руза;Парковая ;20;;Дом на Парковой
Кирилл Вереин;realtor;https://ruza.cian.ru/sale/flat/308495024/;Руза;sale;flat;5;9;1;32.7;4100000;Руза;Федеративная ;12;;
Елена Максимченко;realtor;https://ruza.cian.ru/sale/flat/303943530/;Руза;sale;flat;1;1;2;41.0;3500000;Руза;Социалистическая ;22;;
ID 61248;realtor;https://ruza.cian.ru/sale/flat/302181167/;Руза;sale;flat;2;4;2;46.8;3600000;;;;;
Антон Репин;realtor;https://ruza.cian.ru/sale/flat/294218281/;Руза;sale;flat;4;5;4;121.0;12700000;;;;;
Елена Бурлакова;realtor;https://ruza.cian.ru/sale/flat/306451850/;Руза;sale;flat;1;4;2;42.1;3900000;;;;;
ID 180889;realtor;https://ruza.cian.ru/sale/flat/307800348/;Руза;sale;flat;4;7;2;70.0;4300000;;;;;
Бест на Речном;real_estate_agent;https://ruza.cian.ru/sale/flat/301165964/;Руза;sale;flat;2;2;2;36.0;3300000;Руза;Верхне-Зарецкая ;29;;
Татьяна Волкова;realtor;https://ruza.cian.ru/sale/flat/306931414/;Руза;sale;flat;3;5;3;64.9;5999999;;;;;
ID 119996576;homeowner;https://ruza.cian.ru/sale/flat/305604974/;Руза;sale;flat;2;2;2;45.5;3500000;Руза;Советская ;3;;
Светлана Тихомирова;realtor;https://ruza.cian.ru/sale/flat/307801476/;Руза;sale;flat;3;4;2;41.2;5000000;;;;;
Михаил Солонников;realtor;https://ruza.cian.ru/sale/flat/307227174/;Руза;sale;flat;5;5;2;47.0;4999000;Руза;Новая ;1;;
ID 96476592;homeowner;https://ruza.cian.ru/sale/flat/305174683/;Руза;sale;flat;3;5;3;59.6;6000000;Руза;Демократический переулок;25;;
Светлана Тихомирова;realtor;https://ruza.cian.ru/sale/flat/305783802/;Руза;sale;flat;8;10;1;50.8;4300000;Северное сияние мкр; Вишневая;7;;Северное Сияние
Татьяна Волкова;realtor;https://ruza.cian.ru/sale/flat/305683200/;Руза;sale;flat;1;4;2;40.7;4499999;Руза;Социалистическая ;70;;
ID 11685529;homeowner;https://ruza.cian.ru/sale/flat/308785617/;Руза;sale;flat;2;5;1;37.3;4400000;Руза; Гладышева;3А;;
Светлана Иванова;realtor;https://ruza.cian.ru/sale/flat/282653582/;Руза;sale;flat;2;4;2;45.0;5000000;;;;;
Контис-с;real_estate_agent;https://ruza.cian.ru/sale/flat/286278935/;Руза;sale;flat;3;6;2;74.0;5000000;Северное сияние мкр; Вишневая;11;;Северное Сияние
ID 115767;realtor;https://ruza.cian.ru/sale/flat/308449813/;Руза;sale;flat;3;5;3;57.8;6000000;Руза;Революционная ;21;;
ID 97642026;homeowner;https://ruza.cian.ru/sale/flat/307397277/;Руза;sale;flat;4;9;3;63.0;5900000;Руза;Федеративная ;12;;
Алексей Журавлев;realtor;https://ruza.cian.ru/sale/flat/298627275/;Руза;sale;flat;5;7;1;50.4;5200000;Северное сияние мкр; Вишневая;8;;Северное Сияние
Алексей Журавлев;realtor;https://ruza.cian.ru/sale/flat/298626988/;Руза;sale;flat;4;7;2;70.5;7300000;Северное сияние мкр; Вишневая;8;;Северное Сияние
ID 116197939;homeowner;https://ruza.cian.ru/sale/flat/301677232/;Руза;sale;flat;5;5;2;61.2;6250000;Руза;проезд Базарный;2;;
ID 112529474;homeowner;https://ruza.cian.ru/sale/flat/297667141/;Руза;sale;flat;2;11;1;46.0;7100000;Руза;Федеративная ;13;;
ID 117722035;homeowner;https://ruza.cian.ru/sale/flat/303280326/;Руза;sale;flat;8;9;1;41.3;7200000;Руза;Федеративная ;15;;Федеративный
Анатолий Фомин;real_estate_agent;https://ruza.cian.ru/sale/flat/306670384/;Руза;sale;flat;2;5;2;83.1;4990000;Тучково рп; Восточная;18;;
Дом сервис плюс;real_estate_agent;https://golitsyno.cian.ru/sale/flat/298303130/;Руза;sale;flat;2;10;2;59.2;7650000;;проезд Промышленный;2к1;Одинцово;
ID 13833906;homeowner;https://ruza.cian.ru/sale/flat/287620606/;Руза;sale;flat;8;9;1;42.0;4400000;Тучково рп; Москворецкая;2к1;;Москворецкий
ID 50293837;homeowner;https://ruza.cian.ru/sale/flat/306178101/;Руза;sale;flat;4;9;3;96.6;13990000;Тучково рп; Москворецкая;вл2к3;;
ID 4895746;realtor;https://golitsyno.cian.ru/sale/flat/305653240/;Руза;sale;flat;2;10;3;78.1;7800000;;проезд Промышленный;2к1;Одинцово;
